Comment_ID,Comment,Latitude,Longitude
11,"Sure, absolutely. I appreciate it. So I’m looking through the old Edgemere Urban Renewal Plan, like I have the old Auburn Urban Renewal Plan. So one of the things that was discussed is now we're talking about this upzoning along what looks like it's along Beach Channel Drive. The whole Edgemere Urban Renewal Plan clearly states there was not to be more than 800 units. Okay, so with Beach Green Dunes 3 plus all of these 2-1 and 2-family homes, heights of the buildings were not supposed to be over 25 feet.
 
This is, I study this, this is not my plan, this is HPD's plan. This was a problem I have with HPD. I love that you guys want to do community improvement, but you sell the community one thing, and then when nobody’s paying attention—thank God I’m knowledgeable, and other people are knowledgeable—you go around and change what you’ve already proposed to the community.
 
This plan that was put out in 2008—and we know it’s a long time ago—but this is what was put out there, it’s been studied, environmental studies have been done, no more than 800 units, and the buildings were not supposed to be more than 25 feet.
 
So, what do you have to say about going and choosing what you want out of the study and then just doing whatever you want, going against your own rules and plan that you sold to the community and the studies for years? The people of Rockaway are kind of sick of it.
 
I don’t want to be confrontational; it gets me very agitated. I don’t want to get agitated, but you know, the Edgemere Urban Renewal Area was supposed to be no more than 800 dwelling units. A two-family home counts as two. The buildings were not supposed to be more than 25 feet. It clearly says it in HPD’s document, and I’ll send it to you if you need me to, and I’ll share it with the community so that you know it's a statement, but it’s a question: Why do you keep going against things that you’ve already sold us and we’ve already kind of determined? Yeah, I mean, you're going to greatly increase what was originally sold to us. I mean, someone like Sonia, she bought into the Edgemere Urban Renewal Area. That was part of the plan, and now you're going and changing it again. Because New York City has an affordable housing crisis, and the city is just going to look to bring everybody into Rockaway, so… okay, we’ll create 8,500 jobs, but you’re going to bring 25,000 people here with no— and listen, I love development, trust me, you know people that know me. But it’s got to be done right. If it’s not done right, you’re just creating persistent poverty. You’re just— you’re not providing people with opportunity. And I get it, you guys know a lot more than you did 20 years ago, 30 years ago, and I know your intentions are good. But also, your intentions are not only yours; they’re part of other people’s intentions as well. And we don’t trust the city, and we don’t trust developers. And we want to make sure that you’re sticking to the plan. It was supposed to be no more than 800 dwelling units, and buildings were not supposed to be over 25 feet in height as part of the urban renewal.",40.59742546,-73.77648589
12,"Can you hear me now? Hi, everybody. Man, um, I live in Auburn View, which is to be Ocean Village. And I kept telling everybody not to agree to becoming rent-stabilized, un-stabilized, and not everybody was educated in the process. And because everybody heard about the HPD Section 8 and all these wonderful things that were paved in gold, I kept telling them, no, it’s better if we just stay rent-stabilized. And now, we’re not rent-stabilized, and you have people who are working two and three jobs just to pay the rent. L&M still hasn’t fixed a lot of the issues from Sandy. We still have a lot of apartments that are vacant because they have mold, and in my apartment, I suffered with a lot of plumbing issues, a lot of leakage issues. And not only that, we’re understaffed, and the staff here are tired and exhausted, and they don’t want to speak up because they don’t want to lose their job. So, that’s nothing. L&M and Bluestone and Triangle— they should not get any more properties. Do not let them develop any more properties. And to everybody on this call tonight, I say that we need to organize and we need to take it to the media. That’s the only way that we’re going to get heard. It’s not the employees at HPD. They’re hired to do what they have to do to take care of themselves, but we have to do— we need to make sure we’re organized and that we take our message into the media. It’s not fair to be— my husband, I’m going to have to move to Delaware because we want good schools for our kids, and because we want to be homeowners. My husband should not leave the MTA where he’s basically wondering how he’s going to get from Jersey to the MTA and not be able to do all the time. These are things that we’re worried about because Rockaway does not have good schools. They let all these charter schools come in and take over the public schools. So that’s what we’re worried about right now: how are we going to give our kids a good education? And so, that’s what I say to the group right now. We need to organize and make sure that our voices are heard. Thank you.",40.59922966,-73.77660965
13,"Hi, thank you so much. This is really informative. My mother’s a real estate broker, and she is also really enjoying your presentation. If you can just let me know about some contact information that I can give her, that’s point number one. Please. Number two is educational opportunities, both in increasing school buildings, adding a school building on the site, you know, if there are accommodations for the existing residents that there are more schools for everybody who already lives in the area. And then, you know, take a survey if there’s going to be a huge population increase— there have to be more schools to accommodate all of the new potential students coming in. Especially going forward, if there is more social distancing and they have to add more classrooms so people can spread apart and still learn well, please take that into account. Then also, on the education standpoint, is there a curriculum that’s going to come in with regard to resiliency and environmentalism? And then the last question is— there’s a lot of trendy things happening with environmental education and environmental policies, green buildings, energy efficiency, solar panels, wind power, and then especially after the tropical storm a few weeks ago where a lot of the Rockaways lost power. If anybody needs help with that, they can call my office. But you know, what can we do to increase the environmental efficiency of these buildings that are going up, improve the existing utility infrastructure, and look into ways to prevent power outages from downed wires in the future? Thank you.",40.59451231,-73.77918384
14,"Hi, Desmond, hello. Yeah, so I actually have a question about the urban farms, and thank you for answering that question. I just had a follow-up. So how big are the allocation sites for projects like this?""",40.5945499,-73.77977788
15,"With the Build It Back program, is that coming back to Lake Homes? A lot of homes in the Far Rockaway area kind of missed out on that, uh, program, and I was just wondering if it's coming back. Um, that was one. My second question was the parking issue. Um, I'm like directly across from the audience projects, and most of those people do not pay the city for their parking, and they bombard my block, my block, and, uh, 40th Street and 41st Street with their, um, cars, and it's just really, really, really annoying. I could never get parking like in front of my house. I have to park, like, three blocks away or, you know, pull inside the yard, but I was just wondering what is going to work for that as far as parking is concerned and lifting homes.",40.59428678,-73.77846604
16,"One of the speakers spoke about the schools, and I understand that you have, um, some names that are aside for that, but the school should be built simultaneously with everything else. We're not going to wait for our families to move in and then decide, well, now we have to go to schools, because the families are going to have to send their children somewhere, which means that the other schools nearby are going to be overcrowded, and we do not want that. Who would want to move to a community where they do not know where they're gonna have, uh, where they're gonna take their children to school? So I really think that that is a must, as you're doing the development, that the schools are being built simultaneously so that when families come in, they have somewhere to send these kids.",40.59522652,-73.77794625
17,"Thank you. Okay, so I want to piggyback off of what Keon said, which is very true. For us homeowners here in Edgemere, parking has been a hassle—it’s been hell, if I can say that. You also have to take into account that we have the COVID-19 testing site here. Remember, that lot was supposed to be slated for a school, and which the other young lady has said previously—Marie's right, thank you, Marie—she said that the school should be built at the same time all these resiliency and other projects are going on, because we can't wait. Right? Because we see what happened when we waited. Right now, we have a COVID-19 testing site in our backyards that should not be there. So parking has become even more restricted, right? My idea is, and Eddie, I posted this in the chat so you don’t have to actually look at that. My question is, for us homeowners who literally bought into this Edgemere resiliency project when we bought our homes and were promised so many different things, is there a way to situate our parking where it’s only for the residents who were part of the initial Edgemere plan? I think that would be a great giveback to us, because we should not have to fight for parking. We should not have to clean up our streets. I don’t mind cleaning up our streets, because on several of our blocks, we don’t have oils in our street parking, and we’re responsible for cleaning up our own streets. I don’t mind that, but what I do mind is people coming to dump their garbage after we’ve already cleaned up. If there was restricted parking for the residents or homeowners within this community, that would definitely eliminate that. I can’t tell you how many times I’ve called about unsanitary practices, seeing people just come, dump their garbage, and then go across the street either to NYCHA or catch the train. I think restricted parking for homeowners within this community would be a great giveback to the people who bought into the Edgemere plan years ago when they started building homes here.",40.59703078,-73.77720369
18,"Good afternoon, I am David. As noted on the slide the city's environmental a framework for analysis meaning the conditions if the proposed actions are not to the with actual condition or the conditions if the proposed actions are. The methods preparation of the draft will be to analyze. The RWCDS reflects multiple family developments, two projected commercial sites pursuant to existing zoning in the future absent the proposed actions. I'll start with the no action condition which is the future condition without the proposed actions. If the proposed actions are not approved it is conservatively assumed that existing conditions throughout the area will remain unchanged. While the residential infill sites could be redeveloped on an as-of-right basis for conservative analysis purposes, the EIS is not taking credit for any development whatsoever on these sites under no action conditions. This worst-case building program would be built out over a period of 10 years and across 41 projected development sites. These numbers do not reflect a specific development proposal for the projected development sites, but have been developed for the purpose of assessing the potential for impact during environmental reviews. It is possible that some of the commercial based on this framework and as detailed in the EAS technical screenings, the draft scope identifies several technical areas for further analysis. The EIS will study 17 of the 19 facilities and services and cultural resources, transportation, greenhouse gas emissions, and climate change. The EIS will also include a detailed discussion of mitigation alternatives.",40.59704958,-73.77311964
19,"Hi, can you hear me? Yes, hi, good afternoon. Thank you for the presentation today. I have a couple of questions. Going back to the zoning part, I was a little confused where you said you would prohibit facility use with overnight sleeping. Can you just clarify what you mean by that? So, well as far as testimony, going over what was presented in reference to the zoning changes and the affordable units, I just wanted to state that when you say affordable units, I don't want it just to be a bunch of apartment buildings because we have that already in our Auburn East project. I would recommend that they will be actual homes to purchase for people, for most of the units to go to those who live in the community. And you also mentioned that the new EIS would, I saw that you included the water and sewer, that's fine, you know, because Rockaway does flood like a lot. But in Edgemere, we have a huge issue when it comes to flooding and our sewers. They continue to say that they repaired them and everything is working, and it has not worked for years. So, you know, a strong focus needs to be put on flooding within the Edgemere community. And you said you would increase the parking, so that's great. And also just basically flooding, resiliency, and also opportunities as well for those that live in the neighborhood in the areas of the Rockaway including Edgemere. We have a lot of people who have businesses of their own who would like to embellish on those businesses, so hopefully you can provide that opportunity for them as well within this project. Thank you.",40.59470026,-73.77695618
20,"Thank you for this opportunity. When we do the with and without actions, why is not the urban renewal plan that exists part of those without actions? Wouldn't that plan, this would, that plan would continue on along now since that plan was implemented? HPD has been accumulating all of those other vacant lots. So they are part of HPD's portfolio.?That portfolio in the alternative method could be placed at city auction. Why isn't that part of the without changes? Because without changes, the city owns the property, the city should be selling the property. Without changes, it's an Auburn East area allowing for the completion of 800 affordable homes for the community home ownership versus what we're speaking about now, which is 1,500 units, mostly affordable. Two different types of plans, and they should be compared to. The scope is only dealing with the confined area of 34th to 49th Street from the trestle to the bay. It's not including the impact that the peninsula site with affordable housing going in there, the Far Rockaway downtown site with affordable housing going there, the Edgemere urban renewals—excuse me, the Auburn East site with affordable housing going there. That effect on that amount of affordable housing in this one area of our community with what we have there as far as our community facilities, one hospital, the schools, all have to be studied.",40.59646695,-73.77809476
21,"Hello, can you hear me? I’m a member of the board of Bayswater Civic Association. I was requested to be part of the resilient Edgemere meetings that were held. I would note that the current resilient Edgemere project is posted on your website and is significantly different than the original resilient Edgemere report. Furthermore, nothing in the report addresses flooding. The idea that planting grass will affect high tide is absurd. There was and continues to be community opposition that there be no new housing in the area except one- and two-family detached homes, R1 and R2. No R4, no R6. The area roads are currently grossly inadequate for rush hour and summer traffic. The Peninsula Hospital EIS said that there will be significant traffic impact from the Nassau County line to Beach 116th Street when that project alone is completed, never mind Auburn East and downtown Far Rockaway. We believe, and we the Bayswater Civic Association all believe, east-west roads must have four traffic lanes plus parking, plus any bus lanes. All housing must be owner-occupied. We believe that the urban renewal plan should be canceled and withdrawn. HPD actions must comply with the U.S. Fair Housing Act. We believe the current plans are deliberately designed to accentuate segregation in the area. When you talk about underutilized, you're assuming that building a hundred-floor building would be appropriate. We do not believe that. The only construction really in the area should be parking for the existing residents. People who live in the housing projects, the NYCHA projects, now have to often walk close to a mile to park their cars, and you're just going to accentuate this problem. So I suggest that you withdraw your plans, that HPD closes up shop and goes out of business. Thank you.",40.59486942,-73.77782249
22,"Hi, good afternoon. This is Sonia Weber Bay. I've been a homeowner in Far Rockaway for over 40 years. I am a member of the Beach 43rd Street Block Association. I have three points that I'd like to make about the proposal. The first point is about the 1,201 units that are proposed. I think this is oversaturating the neighborhood. If you estimate 2.2 children in each of those units, there'll be over 2,000 children, and I don't hear any plan for a school or how that's going to impact the schools in the neighborhood. PS 106 is over 100 years old, has less than 250 students. PS 105 is close to capacity, being a K-8 school. I would like you to consider, with Auburn East and more children, how those children will be educated.
My second point is about recreation. Bringing that many additional families into the neighborhood, where in the plan is places for children to play? In these narrow lots where a house will be built, there's hardly any backyard or front yard. We need to consider places for children to play. My third point is a question really about the land trust that was mentioned early on in the presentations. If that is still part of the plan for a resilient Edgemere, I do not support that. I feel that families should have an opportunity for full ownership of their homes, including the land on which those homes will be built. Lastly, I think that there should be some consideration for the feel of our Edgemere neighborhood. As a previous speaker mentioned, we value the fact that we are a less dense neighborhood, a waterfront area, and our families, and our children, and community would like to stay that way. Thank you.",40.59812084,-73.77638688
23,"Good afternoon, hello everyone. I’m Anna Palmer. I call from Seagate Avenue and Friends Block Association, a community activist, and I live right around the corner from the project that is Auburn East. I've been speaking to some of the residents in the area, and they have concerns as well with the possible overcrowding. It isn’t so much the people as the resources in the area that’s lacking, because once the buildings are completed on my avenue, those stores and those areas will be inundated with people. So if you're going to build more housing in this area, we need the stores to support it as well. Transportation cannot support that many more people. The air quality may be affected. More trees need to be planted in the area to balance off the traffic that will be coming through. It can be a good project, especially the wildlife preserve, if we get the children involved and make it part of the curriculum of the school. And then we're also concerned—is that going to drive the price of the rent in this area? Once that is built up, are we going to be priced out and not be able to afford to live in this area?",40.59917328,-73.77636213
